0,85	0,17
0,87	0,26
0,92	0,38
0,95	0,14
0,91	0,23
0,88	0,33
0,89	0,28
0,93	0,12
0,96	0,27
0,8 0,4
0,97	0,37
0,81	0,3
0,94	0,1
0,82	0,31
0,94	0,35
0,93	0,16
0,98	0,33
0,83	0,27
0,81	0,13
0,95	0,19
0,84	0,31
0,85	0,18
0,92	0,36
0,89	0,15
0,99	0,14
0,88	0,39
0,91	0,19
0,97	0,37
0,94	0,11
0,87	0,3
0,85	0,17
0,87	0,26
0,92	0,38
0,95	0,14
0,91	0,23
0,88	0,33
0,89	0,28
0,93	0,12
0,96	0,27
0,8	0,4
0,97	0,37
0,81	0,3
0,94	0,1
0,82	0,31
0,94	0,35
0,93	0,16
0,98	0,33
0,83	0,27
0,81	0,13
0,95	0,19
0,84	0,31
0,85	0,18
0,92	0,36
0,89	0,15
0,99	0,14
0,88	0,39
0,91	0,19
0,97	0,37
0,94	0,11
0,87	0,3
0,85	0,17
0,87	0,26
0,92	0,38
