4052	4999	5403	5625	5764	5889	5928	5981	6022	6056	6082	6106
98,49	99,01	99,17	99,25	99,3	99,33	99,34	99,36	99,38	99,4	99,41	99,42
34,12	30,81	29,46	28,71	28,24	27,91	27,67	27,49	27,34	27,23	27,13	27,05
21,2	18	16,69	15,98	15,52	15,21	14,98	14,8	14,66	14,54	14,45	14,37
16,26	13,27	12,06	11,39	10,97	10,67	10,45	10,27	10,15	10,05	9,96	9,89
13,74	10,92	9,78	9,15	8,75	8,47	8,26	8,1	7,98	7,87	7,79	7,72
12,25	9,55	8,45	7,85	7,46	7,19	7	6,84	6,71	6,62	6,54	6,47
11,26	8,65	7,59	7,01	6,63	6,37	6,19	6,03	5,91	5,82	5,74	5,67
10,56	8,02	6,99	6,42	6,06	5,8	5,62	5,47	5,35	5,26	5,18	5,11
10,04	7,56	6,55	5,99	5,64	5,39	5,21	5,06	4,95	4,85	4,78	4,71
9,86	7,2	6,22	5,67	5,32	5,07	4,88	4,74	4,63	4,54	4,46	4,4
9,33	6,93	5,95	5,41	5,06	4,82	4,65	4,5	4,39	4,3	4,22	4,16
9,07	6,7	5,74	5,2	4,86	4,62	4,44	4,3	4,19	4,1	4,02	3,96
8,86	6,51	5,56	5,03	4,69	4,46	4,28	4,14	4,03	3,94	3,86	3,8
8,68	6,36	5,42	4,89	4,56	4,32	4,14	4	3,89	3,8	3,73	3,67
8,53	6,23	5,29	4,77	4,44	4,2	4,03	3,89	3,78	3,69	3,61	3,55
8,4	6,11	5,18	4,67	4,34	4,1	3,93	3,79	3,68	3,59	3,52	3,45
